pincode,area,state,lat,lon,cell_id,geo_source
132104,Chhajpur Kalan,Haryana,29.3973,76.9946,29.50_77.00,geonames
132105,Lohari,Haryana,29.3636,76.8598,29.25_76.75,geonames
132106,Binjhol,Haryana,29.3326,76.9263,29.25_77.00,geonames
132107,Ahar,Haryana,29.2834,76.8047,29.25_76.75,geonames
132108,Dadola,Haryana,29.3139,76.9717,29.25_77.00,geonames
132113,Waisor,Haryana,29.3584,76.8826,29.25_77.00,geonames
132114,Bastara,Haryana,29.6038,76.9424,29.50_77.00,geonames
132115,Raksera,Haryana,29.2269,77.1181,29.25_77.00,geonames
132116,Shamgarh,Haryana,29.7789,76.9168,29.75_77.00,geonames
132117,Nilokheri GIP,Haryana,29.8888,76.9616,30.00_77.00,geonames
132122,Dikadla,Haryana,29.2761,76.9989,29.25_77.00,geonames
132140,Kabri,Haryana,29.4337,76.9391,29.50_77.00,geonames
132145,Palri,Haryana,29.3043,76.9208,29.25_77.00,geonames
133001,Kharga Canteen,Haryana,30.2901,76.8908,30.25_77.00,geonames
133002,,Haryana,30.3109,76.9162,30.25_77.00,prefix4
133003,,Uttar Pradesh,30.3109,76.9162,30.25_77.00,prefix4
133004,Mardon Sahib,Haryana,30.2729,76.8706,30.25_76.75,geonames
133005,Babyal,Haryana,30.2901,76.8908,30.25_77.00,geonames
133006,Ind-estate,Haryana,30.2901,76.8908,30.25_77.00,geonames
133102,Kesri,Haryana,30.2396,76.8943,30.25_77.00,geonames
133103,Mustafabad (Yamuna Nagar),Haryana,30.2503,77.1628,30.25_77.25,geonames
133104,Samlerhi,Haryana,30.3196,76.969,30.25_77.00,geonames
133201,Barara,Haryana,30.2215,77.0136,30.25_77.00,geonames
133202,Manka Manki,Haryana,30.2634,77.0656,30.25_77.00,geonames
133203,Dhanaura,Haryana,30.2573,76.9239,30.25_77.00,geonames
133204,Safilpur,Haryana,30.4204,77.2306,30.50_77.25,geonames
133205,Ugala,Haryana,30.2689,76.9625,30.25_77.00,geonames
133206,Zaffarpur,Haryana,30.2795,77.194,30.25_77.25,geonames
133207,Mullana Engineering College,Haryana,30.277,77.0726,30.25_77.00,geonames
133301,B.C.W. Suraj Pur,Haryana,30.8398,76.9406,30.75_77.00,geonames
133302,Kalka,Haryana,30.8398,76.9406,30.75_77.00,geonames
134001,,Haryana,30.3153,76.7466,30.25_76.75,prefix4
134002,,Haryana,30.3153,76.7466,30.25_76.75,prefix4
134003,Preet Nagar (Ambala),Haryana,30.2792,76.7113,30.25_76.75,geonames
134005,Jandli,Haryana,30.3571,76.7964,30.25_76.75,geonames
134007,Dhulkot,Haryana,30.3876,76.8069,30.50_76.75,geonames
134008,Danipur,Haryana,30.2371,76.6718,30.25_76.75,geonames
134101,H.M.T.Pinjore,Haryana,30.7987,76.9182,30.75_77.00,geonames
134102,Mallah,Haryana,30.7987,76.9182,30.75_77.00,geonames
134103,I.T.B.P.  Bhanu,Haryana,30.7987,76.9182,30.75_77.00,geonames
134104,C.R.P.F. Pinjore,Haryana,30.7987,76.9182,30.75_77.00,geonames
134105,Amravati Enclave,Haryana,30.7987,76.9182,30.75_77.00,geonames
134107,Chandi Mandir Cantt,Haryana,30.7987,76.9182,30.75_77.00,geonames
134108,G.K. Panchkula,Haryana,30.7987,76.9182,30.75_77.00,geonames
134111,,Chandigarh,30.7406,76.9404,30.75_77.00,prefix4
134114,Mansa  Devi Sec-5,Haryana,30.686,76.9776,30.75_77.00,geonames
134115,,Punjab,30.7406,76.9404,30.75_77.00,prefix4
134116,Sector-26 Panchkula,Haryana,30.686,76.9776,30.75_77.00,geonames
134117,Sector 20 Panchkula,Haryana,30.686,76.9776,30.75_77.00,geonames
134118,Rattewali,Haryana,30.5495,76.9321,30.50_77.00,geonames
134201,Bharog,Haryana,30.431,76.9485,30.50_77.00,geonames
134202,Shahzadpur,Haryana,30.4468,77.0479,30.50_77.00,geonames
134203,Bhadauli,Haryana,30.4111,77.0433,30.50_77.00,geonames
134204,Khetpurali,Haryana,30.4466,76.9663,30.50_77.00,geonames
135001,Model Town (Yamuna Nagar),Haryana,30.0075,77.2266,30.00_77.25,geonames
135002,Harnaul,Haryana,30.1093,77.2136,30.00_77.25,geonames
135003,Mehlanwali,Haryana,30.1888,77.2857,30.25_77.25,geonames
135004,Kerera Khurd,Haryana,30.1274,77.2674,30.25_77.25,geonames
135021,Muzafatkalan,Haryana,30.274,77.4561,30.25_77.50,geonames
135101,Fatehpur,Haryana,30.2036,77.2494,30.25_77.25,geonames
135102,Dayalgarh,Haryana,30.222,77.242,30.25_77.25,geonames
135103,Lalheri Kalan,Haryana,30.2986,77.4034,30.25_77.50,geonames
135133,Baindi,Haryana,30.0999,77.1441,30.00_77.25,geonames
136021,Sanghrouli,Haryana,29.8264,76.6446,29.75_76.75,geonames
136026,Hajwana,Haryana,29.712,76.6115,29.75_76.50,geonames
136027,Deoban,Haryana,29.7869,76.389,29.75_76.50,geonames
136034,Bhagal,Haryana,30.0726,76.356,30.00_76.25,geonames
136038,Amin,Haryana,30.0451,76.7862,30.00_76.75,geonames
136042,Rasina,Haryana,29.7709,76.5924,29.75_76.50,geonames
136044,Mandwal,Haryana,29.5838,76.4837,29.50_76.50,geonames
136117,Kharak Pandwan,Haryana,29.6514,76.3524,29.75_76.25,geonames
136118,Thanesar Town,Haryana,30.1487,76.6856,30.25_76.75,geonames
136119,Kirmuch,Haryana,30.0272,76.7806,30.00_76.75,geonames
136128,Malikpur,Haryana,30.0285,76.6116,30.00_76.50,geonames
136129,Naisi,Haryana,30.1002,76.678,30.00_76.75,geonames
136131,Bir Mathana,Haryana,29.9764,76.9163,30.00_77.00,geonames
136132,Niwarsi,Haryana,30.0348,76.8961,30.00_77.00,geonames
136135,Landi,Haryana,30.1502,76.8588,30.25_76.75,geonames
136156,Bhagwanpur,Haryana,30.0859,76.9578,30.00_77.00,geonames
140001,Ropar H.O,Punjab,31.0624,76.4894,31.00_76.50,geonames
140101,Dhangrali,Punjab,30.836,76.5155,30.75_76.50,geonames
140103,Chintgarh,Punjab,30.8848,76.5534,31.00_76.50,geonames
140108,Kotla Nihang,Punjab,31.0013,76.5242,31.00_76.50,geonames
140110,Sialba Majri,Punjab,30.8446,76.7242,30.75_76.75,geonames
140111,Bazidpur,Punjab,30.9274,76.4078,31.00_76.50,geonames
140112,Chamkaur Sahib,Punjab,30.8039,76.524,30.75_76.50,geonames
140113,Malikpur,Punjab,31.0549,76.5121,31.00_76.50,geonames
140115,Kiratpur Sahib,Punjab,31.1244,76.5293,31.00_76.50,geonames
140117,Nurpur Bedi,Punjab,31.0624,76.4894,31.00_76.50,geonames
140118,Anand Pur Sahib,Punjab,31.0624,76.4894,31.00_76.50,geonames
140119,Abiana,Chandigarh,31.057,76.5678,31.00_76.50,geonames
140123,Thaluh,Punjab,31.2602,76.4783,31.25_76.50,geonames
140124,Nangal Township,Punjab,31.3897,76.3757,31.50_76.50,geonames
140125,Ajauli,Chandigarh,30.9959,76.5478,31.00_76.50,geonames
140126,Naya Nangal Sector 2,Punjab,30.9245,76.4479,31.00_76.50,geonames
140133,Kalitran,Chandigarh,31.007,76.5381,31.00_76.50,geonames
140201,Bhankarpur,Punjab,30.4432,76.594,30.50_76.50,geonames
140301,Roorkee Pukhta,Punjab,30.9744,76.5435,31.00_76.50,geonames
140306,Raipur Kalan,Punjab,30.9788,76.5359,31.00_76.50,geonames
140307,Bhago Majra,Punjab,30.8766,76.5581,31.00_76.50,geonames
140308,Kumbra,Punjab,30.9378,76.5618,31.00_76.50,geonames
140401,IFP Rajpura,Punjab,30.2803,76.3516,30.25_76.25,geonames
140406,Rajindergarh,Punjab,30.5859,76.4327,30.50_76.50,geonames
140407,Fatehgarh Sahib,Punjab,30.5733,76.5092,30.50_76.50,geonames
140412,Khalaspur,Punjab,30.496,76.3425,30.50_76.25,geonames
140413,Garangan,Punjab,30.8339,76.5257,30.75_76.50,geonames
140417,Nogawan,Punjab,30.4615,76.6725,30.50_76.75,geonames
140501,Samgoli,Punjab,30.4552,76.8562,30.50_76.75,geonames
140506,Jalalpur,Punjab,30.5072,76.6545,30.50_76.75,geonames
140507,Rampur Sainia,Punjab,30.5631,76.8376,30.50_76.75,geonames
140601,Jhansla,Punjab,30.3839,76.4046,30.50_76.50,geonames
140602,Buras,Punjab,30.5417,76.5497,30.50_76.50,geonames
140603,Babhat,Chandigarh,30.4867,76.5764,30.50_76.50,geonames
140604,Baltana,Punjab,30.6763,76.7411,30.75_76.75,geonames
140701,Kauli,Punjab,30.3867,76.4902,30.50_76.50,geonames
140901,Parol,Punjab,30.7797,76.6824,30.75_76.75,geonames
141000,,Punjab,30.8406,75.9286,30.75_76.00,prefix4
141001,Sarabha Nagar,Punjab,30.8047,75.8361,30.75_75.75,geonames
141002,Model Town (Ludhiana),Punjab,30.8047,75.8361,30.75_75.75,geonames
141003,A.P. Basti,Punjab,30.8047,75.8361,30.75_75.75,geonames
141004,P.A.U.,Punjab,30.8047,75.8361,30.75_75.75,geonames
141005,,Punjab,30.8406,75.9286,30.75_76.00,prefix4
141006,Gne College,Punjab,30.8047,75.8361,30.75_75.75,geonames
141007,Mangat,Punjab,30.9724,75.9345,31.00_76.00,geonames
141008,Shivpuri (Ludhiana),Punjab,30.8047,75.8361,30.75_75.75,geonames
141010,Focal Point,Punjab,30.8485,76.141,30.75_76.25,geonames
141012,Rajguru Nagar,Punjab,30.8485,76.141,30.75_76.25,geonames
141013,Basant Avenue,Punjab,30.8485,76.141,30.75_76.25,geonames
141014,Dhandari Kalan,Punjab,30.8646,75.9185,30.75_76.00,geonames
141015,Karyana Kalan,Punjab,30.8975,75.9316,31.00_76.00,geonames
141016,Lohora,Punjab,30.8047,75.8361,30.75_75.75,geonames
141017,Jugiana,Punjab,30.8549,75.9405,30.75_76.00,geonames
141027,,Punjab,30.8406,75.9286,30.75_76.00,prefix4
141101,Rurka,Punjab,30.8381,75.6614,30.75_75.75,geonames
141102,Dewatwal,Punjab,30.8722,75.7053,30.75_75.75,geonames
141103,Khandur,Punjab,30.7984,75.7216,30.75_75.75,geonames
141104,Sudhar,Punjab,30.8956,75.7472,31.00_75.75,geonames
141106,Halwara Aerodrome,Punjab,30.9228,75.6892,31.00_75.75,geonames
141107,Barhmi,Punjab,30.8406,75.6779,30.75_75.75,geonames
141109,Kalas,Punjab,30.6712,76.027,30.75_76.00,geonames
141112,Gaddowal,Punjab,30.836,75.8976,30.75_76.00,geonames
141113,Katani Kalan,Punjab,30.8535,76.0863,30.75_76.00,geonames
141114,Heddon,Punjab,30.808,76.1567,30.75_76.25,geonames
141115,Takhran,Punjab,30.9291,76.198,31.00_76.25,geonames
141116,Jassowal,Punjab,30.8,75.8529,30.75_75.75,geonames
141117,Sihar,Punjab,30.8047,75.8361,30.75_75.75,geonames
141118,Lehra,Punjab,30.7846,75.8403,30.75_75.75,geonames
141119,Dhudhal Kalan,Punjab,30.8047,75.8361,30.75_75.75,geonames
141120,Bilga,Punjab,30.8461,75.919,30.75_76.00,geonames
141122,Natt,Punjab,30.8289,75.8919,30.75_76.00,geonames
141123,Ramgarh (Ludhiana),Punjab,30.9575,75.9386,31.00_76.00,geonames
141126,Sri Bhaini Sahib,Punjab,30.9304,76.0968,31.00_76.00,geonames
141127,Rattangarh,Punjab,30.8047,75.8361,30.75_75.75,geonames
141201,Kila Raipur,Punjab,30.8047,75.8361,30.75_75.75,geonames
141202,Ballowal,Punjab,30.7685,75.7437,30.75_75.75,geonames
141204,Dhulkot,Punjab,30.8532,75.712,30.75_75.75,geonames
141206,Mukandpur,Punjab,30.7924,75.8976,30.75_76.00,geonames
141401,Nai Mandi Khanna,Punjab,30.6946,76.1262,30.75_76.25,geonames
141413,Nizampur,Punjab,30.6559,76.0162,30.75_76.00,geonames
141414,Nasrali,Punjab,30.6891,76.1244,30.75_76.00,geonames
141415,Bharthala Randhawa,Punjab,30.604,76.0709,30.50_76.00,geonames
141416,Barmalipur,Punjab,30.7531,76.0743,30.75_76.00,geonames
141417,Rahawan,Punjab,30.7809,76.0222,30.75_76.00,geonames
141421,Bilaspur,Punjab,30.7521,76.0553,30.75_76.00,geonames
141422,Hissowal,Punjab,30.803,75.6673,30.75_75.75,geonames
142001,Moga H.O,Punjab,30.7625,75.1742,30.75_75.25,geonames
142011,Mehna,Punjab,30.7811,75.2246,30.75_75.25,geonames
142021,Pamali,Punjab,30.842,75.7446,30.75_75.75,geonames
142022,Thakarwal,Punjab,30.8509,75.8048,30.75_75.75,geonames
142023,Sohian,Punjab,30.8,75.5666,30.75_75.50,geonames
142024,Sidhwan Kalan,Punjab,30.8605,75.5598,30.75_75.50,geonames
142026,Jagraon Tehsil,Punjab,30.8567,75.6153,30.75_75.50,geonames
142027,Ayali Kalan,Punjab,30.9114,75.75,31.00_75.75,geonames
142029,Dhaipai,Punjab,30.8033,75.7963,30.75_75.75,geonames
142030,Chachrari,Punjab,30.7271,75.7905,30.75_75.75,geonames
142031,Hathur,Punjab,30.6391,75.4472,30.75_75.50,geonames
142032,Bassian,Punjab,30.7524,75.7283,30.75_75.75,geonames
142035,Dangian,Punjab,30.774,75.5695,30.75_75.50,geonames
142037,Malliana,Punjab,30.6753,75.3006,30.75_75.25,geonames
142038,Rajeana,Punjab,30.6086,75.1674,30.50_75.25,geonames
142039,Minian,Punjab,30.6572,75.3048,30.75_75.25,geonames
142042,Lohgarh,Punjab,30.8252,75.1891,30.75_75.25,geonames
